signal_time,coin,tier,regime,hold_h,outcome,pnl_pct,lev_pnl,leverage,is_new
2024-01-12 00:00:00,ATOMUSDT,A,RANGING,12,OPEN,-1.213,-6.063,5,True
2024-01-12 00:00:00,ATOMUSDT,A,RANGING,24,STOP,-4.611,-23.053,5,True
2024-01-15 06:00:00,INJUSDT,B,TRENDING,4,OPEN,-0.395,-1.186,3,True
2024-01-15 06:00:00,INJUSDT,B,TRENDING,12,OPEN,1.464,4.391,3,True
2024-01-15 06:00:00,INJUSDT,B,TRENDING,24,OPEN,4.303,12.908,3,True
2024-01-15 22:00:00,DOTUSDT,B,RANGING,4,OPEN,-0.2,-2.002,10,True
2024-01-15 22:00:00,DOTUSDT,B,RANGING,12,OPEN,0.117,1.17,10,True
2024-01-15 22:00:00,DOTUSDT,B,RANGING,24,STOP,-2.712,-27.119,10,True
2024-01-19 23:00:00,DOTUSDT,B,TRENDING,4,OPEN,-0.633,-3.163,5,True
2024-01-19 23:00:00,DOTUSDT,B,TRENDING,12,OPEN,-0.313,-1.563,5,True
2024-01-19 23:00:00,DOTUSDT,B,TRENDING,24,OPEN,0.08,0.4,5,True
2024-01-20 20:00:00,LINKUSDT,A,RANGING,4,STOP,-2.075,-26.973,13,True
2024-01-20 20:00:00,LINKUSDT,A,RANGING,12,STOP,-2.075,-26.973,13,True
2024-01-20 20:00:00,LINKUSDT,A,RANGING,24,STOP,-2.075,-26.973,13,True
2024-01-23 18:00:00,APTUSDT,A,TRENDING,4,OPEN,2.183,4.367,2,True
2024-01-23 18:00:00,APTUSDT,A,TRENDING,12,OPEN,0.042,0.085,2,True
2024-01-23 18:00:00,APTUSDT,A,TRENDING,24,OPEN,-0.84,-1.68,2,True
2024-01-29 16:00:00,INJUSDT,B,RANGING,4,OPEN,-3.784,-15.135,4,True
2024-01-29 16:00:00,INJUSDT,B,RANGING,12,STOP,-6.111,-24.443,4,True
2024-01-29 16:00:00,INJUSDT,B,RANGING,24,STOP,-6.111,-24.443,4,True
2024-01-29 20:00:00,INJUSDT,B,RANGING,4,OPEN,-0.326,-3.256,10,True
2024-01-29 20:00:00,INJUSDT,B,RANGING,12,STOP,-2.652,-26.523,10,True
2024-01-29 20:00:00,INJUSDT,B,RANGING,24,STOP,-2.652,-26.523,10,True
2024-02-03 22:00:00,SOLUSDT,B,RANGING,4,OPEN,-0.593,-7.706,13,False
2024-02-03 22:00:00,SOLUSDT,B,RANGING,12,STOP,-2.052,-26.678,13,False
2024-02-03 22:00:00,SOLUSDT,B,RANGING,24,STOP,-2.052,-26.678,13,False
2024-02-03 22:00:00,DOTUSDT,A,RANGING,4,STOP,-0.344,-34.364,100,True
2024-02-03 22:00:00,DOTUSDT,A,RANGING,12,STOP,-0.344,-34.364,100,True
2024-02-03 22:00:00,DOTUSDT,A,RANGING,24,STOP,-0.344,-34.364,100,True
2024-02-04 07:00:00,LINKUSDT,B,RANGING,4,OPEN,0.739,6.654,9,True
2024-02-04 07:00:00,LINKUSDT,B,RANGING,12,TARGET,3.847,34.622,9,True
2024-02-04 07:00:00,LINKUSDT,B,RANGING,24,TARGET,3.847,34.622,9,True
2024-02-04 14:00:00,BNBUSDT,A,RANGING,4,OPEN,-0.063,-0.505,8,False
2024-02-04 14:00:00,BNBUSDT,A,RANGING,12,OPEN,-0.813,-6.501,8,False
2024-02-04 14:00:00,BNBUSDT,A,RANGING,24,OPEN,-1.513,-12.104,8,False
2024-02-07 07:00:00,LINKUSDT,B,RANGING,4,OPEN,-1.77,-14.159,8,True
2024-02-07 07:00:00,LINKUSDT,B,RANGING,12,OPEN,0.902,7.218,8,True
2024-02-07 07:00:00,LINKUSDT,B,RANGING,24,OPEN,1.678,13.424,8,True
2024-02-07 08:00:00,ATOMUSDT,A,RANGING,4,OPEN,0.114,1.029,9,True
2024-02-07 08:00:00,ATOMUSDT,A,RANGING,12,TARGET,3.568,32.115,9,True
2024-02-07 08:00:00,ATOMUSDT,A,RANGING,24,TARGET,3.568,32.115,9,True
2024-02-07 14:00:00,DOTUSDT,A,RANGING,4,OPEN,1.013,7.089,7,True
2024-02-07 14:00:00,DOTUSDT,A,RANGING,12,OPEN,1.042,7.293,7,True
2024-02-07 14:00:00,DOTUSDT,A,RANGING,24,OPEN,1.129,7.904,7,True
2024-02-07 14:00:00,SOLUSDT,B,RANGING,4,OPEN,0.807,5.652,7,False
2024-02-07 14:00:00,SOLUSDT,B,RANGING,12,TARGET,4.604,32.227,7,False
2024-02-07 14:00:00,SOLUSDT,B,RANGING,24,TARGET,4.604,32.227,7,False
2024-02-07 14:00:00,AVAXUSDT,B,RANGING,4,OPEN,0.789,3.946,5,False
2024-02-07 14:00:00,AVAXUSDT,B,RANGING,12,OPEN,0.376,1.88,5,False
2024-02-07 14:00:00,AVAXUSDT,B,RANGING,24,OPEN,0.935,4.673,5,False
2024-02-07 14:00:00,NEARUSDT,B,RANGING,4,OPEN,2.615,13.074,5,True
2024-02-07 14:00:00,NEARUSDT,B,RANGING,12,OPEN,4.97,24.849,5,True
2024-02-07 14:00:00,NEARUSDT,B,RANGING,24,TARGET,6.633,33.167,5,True
2024-02-10 17:00:00,LINKUSDT,B,TRENDING,4,OPEN,2.166,12.997,6,True
2024-02-10 17:00:00,LINKUSDT,B,TRENDING,12,TARGET,5.764,34.582,6,True
2024-02-10 17:00:00,LINKUSDT,B,TRENDING,24,TARGET,5.764,34.582,6,True
2024-02-10 23:00:00,LINKUSDT,B,TRENDING,4,OPEN,3.466,10.398,3,True
2024-02-10 23:00:00,LINKUSDT,B,TRENDING,12,OPEN,3.641,10.922,3,True
2024-02-10 23:00:00,LINKUSDT,B,TRENDING,24,OPEN,3.353,10.059,3,True
2024-02-11 05:00:00,LINKUSDT,B,TRENDING,4,OPEN,0.781,1.562,2,True
2024-02-11 05:00:00,LINKUSDT,B,TRENDING,12,OPEN,-0.647,-1.294,2,True
2024-02-11 05:00:00,LINKUSDT,B,TRENDING,24,OPEN,-0.829,-1.657,2,True
2024-02-12 06:00:00,APTUSDT,A,RANGING,4,STOP,-1.172,-30.472,26,True
2024-02-12 06:00:00,APTUSDT,A,RANGING,12,STOP,-1.172,-30.472,26,True
2024-02-12 06:00:00,APTUSDT,A,RANGING,24,STOP,-1.172,-30.472,26,True
2024-02-12 06:00:00,DOTUSDT,A,RANGING,4,OPEN,-1.042,-12.506,12,True
2024-02-12 06:00:00,DOTUSDT,A,RANGING,12,TARGET,2.778,33.334,12,True
2024-02-12 06:00:00,DOTUSDT,A,RANGING,24,TARGET,2.778,33.334,12,True
2024-02-12 17:00:00,LINKUSDT,A,RANGING,4,OPEN,-0.976,-5.854,6,True
