signal_time,entry_time,coin,entry_price,stop_price,target_price,stop_dist_pct,beta_4h,vol_zscore,regime,confidence,tier,leverage,rr,is_new
2023-08-17 04:00:00,2023-08-17 06:00:00,DOTUSDT,4.743,4.486455,5.127818,5.409,-0.89,13.059,TRENDING,75.0,A,4,1.5,True
2023-08-20 10:00:00,2023-08-20 12:00:00,ATOMUSDT,7.854,7.64359,8.169615,2.679,-6.016,1.915,RANGING,83.7,A,9,1.5,True
2023-08-20 10:00:00,2023-08-20 12:00:00,AVAXUSDT,10.882,10.675355,11.191968,1.899,-0.419,3.169,RANGING,100.0,A,13,1.5,False
2023-08-25 13:00:00,2023-08-25 15:00:00,LINKUSDT,5.951,5.91826,6.00011,0.55,0.28,3.231,RANGING,72.0,B,45,1.5,True
2023-08-25 13:00:00,2023-08-25 15:00:00,ETHUSDT,1645.23,1634.83475,1660.822875,0.632,0.265,2.128,RANGING,60.4,B,39,1.5,False
2023-08-27 00:00:00,2023-08-27 02:00:00,INJUSDT,7.213,7.111265,7.365602,1.41,-1.244,1.235,RANGING,73.5,B,17,1.5,True
2023-08-27 07:00:00,2023-08-27 09:00:00,NEARUSDT,1.2,1.18007,1.229895,1.661,-12.278,12.838,RANGING,100.0,A,15,1.5,True
2023-08-28 05:00:00,2023-08-28 07:00:00,INJUSDT,6.975,6.81376,7.21686,2.312,-1.384,1.008,RANGING,70.1,B,10,1.5,True
2023-08-29 01:00:00,2023-08-29 03:00:00,OPUSDT,1.4312,1.393,1.4885,2.669,0.051,1.913,RANGING,78.6,A,9,1.5,True
2023-09-03 00:00:00,2023-09-03 02:00:00,LINKUSDT,5.982,5.853585,6.174623,2.147,-8.948,1.216,RANGING,73.2,B,11,1.5,True
2023-09-03 20:00:00,2023-09-03 22:00:00,SOLUSDT,19.508,19.11395,20.099075,2.02,-0.093,1.225,RANGING,73.4,B,12,1.5,False
2023-09-05 14:00:00,2023-09-05 16:00:00,SOLUSDT,20.308,18.92291,22.385635,6.82,-1.854,1.792,TRENDING,56.9,B,3,1.5,False
2023-09-06 00:00:00,2023-09-06 02:00:00,MATICUSDT,0.5664,0.550932,0.589603,2.731,-1.768,1.264,RANGING,74.0,B,9,1.5,False
2023-09-06 01:00:00,2023-09-06 03:00:00,LINKUSDT,6.203,6.02174,6.47489,2.922,-0.473,1.994,RANGING,84.9,A,8,1.5,True
2023-09-07 21:00:00,2023-09-07 23:00:00,DOTUSDT,4.29,4.20885,4.427536,1.892,-0.143,2.207,TRENDING,63.1,B,13,1.69,True
2023-09-09 18:00:00,2023-09-09 20:00:00,INJUSDT,6.67,6.567995,6.823008,1.529,-0.377,2.908,RANGING,98.6,A,16,1.5,True
2023-09-11 14:00:00,2023-09-11 16:00:00,OPUSDT,1.2608,1.205044,1.344433,4.422,-0.664,5.015,TRENDING,75.0,A,5,1.5,True
2023-09-13 07:00:00,2023-09-13 09:00:00,MATICUSDT,0.5176,0.501778,0.541332,3.057,-0.379,2.531,TRENDING,68.0,B,8,1.5,False
2023-09-21 00:00:00,2023-09-21 02:00:00,ATOMUSDT,7.386,7.087385,7.833922,4.043,-4.789,2.363,RANGING,90.4,A,6,1.5,True
2023-09-21 00:00:00,2023-09-21 02:00:00,AVAXUSDT,9.022,8.77391,9.394135,2.75,0.249,1.935,RANGING,59.1,B,9,1.5,False
2023-09-21 00:00:00,2023-09-21 02:00:00,NEARUSDT,1.141,1.087535,1.221198,4.686,-4.043,9.174,RANGING,100.0,A,5,1.5,True
2023-09-21 06:00:00,2023-09-21 08:00:00,ATOMUSDT,7.436,7.087385,7.958922,4.688,-0.55,1.583,RANGING,78.7,A,5,1.5,True
2023-09-26 05:00:00,2023-09-26 07:00:00,ATOMUSDT,7.036,6.886395,7.260407,2.126,0.079,1.778,RANGING,73.8,B,11,1.5,True
2023-09-26 06:00:00,2023-09-26 08:00:00,BNBUSDT,212.85,206.7212,222.0432,2.879,-1.717,1.326,RANGING,74.9,B,8,1.5,False
2023-09-28 07:00:00,2023-09-28 09:00:00,LINKUSDT,7.815,7.527175,8.246738,3.683,-5.988,1.541,RANGING,78.1,A,6,1.5,True
2023-09-28 07:00:00,2023-09-28 09:00:00,DOTUSDT,4.024,3.959105,4.121342,1.613,-0.891,1.002,RANGING,70.0,B,15,1.5,True
2023-09-29 22:00:00,2023-09-30 00:00:00,LTCUSDT,65.59,64.56555,67.126675,1.562,-0.28,1.342,RANGING,75.1,A,16,1.5,True
2023-09-30 12:00:00,2023-09-30 14:00:00,SOLUSDT,21.284,19.954725,23.277912,6.245,-0.678,1.245,RANGING,73.7,B,4,1.5,False
2023-09-30 14:00:00,2023-09-30 16:00:00,INJUSDT,7.744,7.43464,8.20804,3.995,-0.682,1.705,RANGING,80.6,A,6,1.5,True
2023-09-30 17:00:00,2023-09-30 19:00:00,OPUSDT,1.353,1.308922,1.419116,3.258,-20.158,4.028,RANGING,100.0,A,7,1.5,True
2023-10-06 12:00:00,2023-10-06 14:00:00,MATICUSDT,0.5582,0.544066,0.579401,2.532,0.135,1.046,RANGING,57.2,B,9,1.5,False
2023-10-06 12:00:00,2023-10-06 14:00:00,NEARUSDT,1.089,1.063655,1.127018,2.327,0.28,2.173,RANGING,59.6,B,10,1.5,True
2023-10-07 05:00:00,2023-10-07 07:00:00,AVAXUSDT,10.776,10.563915,11.094127,1.968,-6.209,1.6,RANGING,79.0,A,12,1.5,False
2023-10-08 00:00:00,2023-10-08 02:00:00,OPUSDT,1.2924,1.265043,1.333435,2.117,-0.79,2.094,RANGING,86.4,A,11,1.5,True
2023-10-08 22:00:00,2023-10-09 00:00:00,INJUSDT,7.707,7.62966,7.82301,1.004,-4.641,1.392,RANGING,75.9,A,24,1.5,True
2023-10-10 07:00:00,2023-10-10 09:00:00,ATOMUSDT,7.123,6.528195,8.015208,8.35,-2.593,15.508,TRENDING,75.0,A,2,1.5,True
2023-10-11 00:00:00,2023-10-11 02:00:00,BNBUSDT,206.14,206.09435,208.100827,0.022,-0.39,1.362,RANGING,75.4,A,100,42.95,False
2023-10-12 00:00:00,2023-10-12 02:00:00,INJUSDT,7.374,7.153055,7.705417,2.996,-0.308,3.143,TRENDING,75.0,A,8,1.5,True
2023-10-12 21:00:00,2023-10-12 23:00:00,AVAXUSDT,9.108,8.830625,9.524063,3.045,-1.332,1.598,RANGING,79.0,A,8,1.5,False
2023-10-14 14:00:00,2023-10-14 16:00:00,INJUSDT,7.651,7.43066,7.98151,2.88,-2.807,3.952,TRENDING,75.0,A,8,1.5,True
